sample_b,sample_a,distance,timepoint_a,mouse_id_a,timepoint_b,mouse_id_b,timepoint_pair
D5M31,D4M31,0.2559018252730109,D4,M31,D5,M31,D4-D5
D5M32,D4M32,0.2844709048361934,D4,M32,D5,M32,D4-D5
D5M33,D4M33,0.3215955270210808,D4,M33,D5,M33,D4-D5
D5M34,D4M34,0.6524841593663747,D4,M34,D5,M34,D4-D5
D5M35,D4M35,0.406759369574783,D4,M35,D5,M35,D4-D5
D5M37,D4M37,0.2811474654986199,D4,M37,D5,M37,D4-D5
D5M38,D4M38,0.2340272654906196,D4,M38,D5,M38,D4-D5
D5M39,D4M39,0.2513167102684107,D4,M39,D5,M39,D4-D5
D5M40,D4M40,0.3828980247209888,D4,M40,D5,M40,D4-D5
D6M31,D5M31,0.2934183739349573,D5,M31,D6,M31,D5-D6
D9M31,D5M31,0.2774445645825832,D5,M31,D9,M31,D5-D9
D12M31,D5M31,0.321649388775551,D5,M31,D12,M31,D5-D12
D6M32,D5M32,0.3485377099083964,D5,M32,D6,M32,D5-D6
D9M32,D5M32,0.2402452090083603,D5,M32,D9,M32,D5-D9
D12M32,D5M32,0.2536852666106645,D5,M32,D12,M32,D5-D12
D6M33,D5M33,0.2929101784071363,D5,M33,D6,M33,D5-D6
D9M33,D5M33,0.3490808916356653,D5,M33,D9,M33,D5-D9
D12M33,D5M33,0.1948764978599144,D5,M33,D12,M33,D5-D12
D6M34,D5M34,0.2455055650226009,D5,M34,D6,M34,D5-D6
D9M34,D5M34,0.2296027985119405,D5,M34,D9,M34,D5-D9
D12M34,D5M34,0.3204314388575543,D5,M34,D12,M34,D5-D12
D6M35,D5M35,0.3186627477099084,D5,M35,D6,M35,D5-D6
D9M35,D5M35,0.2793348061922477,D5,M35,D9,M35,D5-D9
D12M35,D5M35,0.3114010540421617,D5,M35,D12,M35,D5-D12
D6M37,D5M37,0.2288077723108924,D5,M37,D6,M37,D5-D6
D9M37,D5M37,0.2900591495659826,D5,M37,D9,M37,D5-D9
D12M37,D5M37,0.260016934677387,D5,M37,D12,M37,D5-D12
D6M38,D5M38,0.2415116952678107,D5,M38,D6,M38,D5-D6
D9M38,D5M38,0.2435314848593943,D5,M38,D9,M38,D5-D9
D12M38,D5M38,0.2513927569102764,D5,M38,D12,M38,D5-D12
D6M39,D5M39,0.2027299643985759,D5,M39,D6,M39,D5-D6
D9M39,D5M39,0.2370093439737589,D5,M39,D9,M39,D5-D9
D12M39,D5M39,0.2626006884275371,D5,M39,D12,M39,D5-D12
D6M40,D5M40,0.3036079123164926,D5,M40,D6,M40,D5-D6
D9M40,D5M40,0.3012140181607264,D5,M40,D9,M40,D5-D9
D12M40,D5M40,0.3204186483459338,D5,M40,D12,M40,D5-D12
