Taxonomy,timepoint,relab
Akkermansiaceae,D4,0.0033881355254209906
Oscillospiraceae,D4,0.013652546101844052
Ruminococcaceae,D4,0.01442057682307292
Deferribacteraceae,D4,0.01568862754510178
Lactobacillaceae,D4,0.0364654586183447
Erysipelotrichaceae,D4,0.050490019600784045
Rikenellaceae,D4,0.08520340813632547
Lachnospiraceae,D4,0.10555222208888357
Bacteroidaceae,D4,0.22059682387295484
Muribaculaceae,D4,0.321256850274011
Lactobacillaceae,D5,0.009951509171477921
Oscillospiraceae,D5,0.014956153801707589
Ruminococcaceae,D5,0.015640625625025002
Deferribacteraceae,D5,0.04056162246489862
Erysipelotrichaceae,D5,0.04857972096661643
Akkermansiaceae,D5,0.058060100181785076
Bacteroidaceae,D5,0.07522967585370077
Rikenellaceae,D5,0.08814130342991496
Lachnospiraceae,D5,0.1091021418634523
Muribaculaceae,D5,0.4683076211937367
Akkermansiaceae,D6,0.0009000360014400201
Deferribacteraceae,D6,0.00615624624984995
Ruminococcaceae,D6,0.01155246209848391
Oscillospiraceae,D6,0.021740869634785394
Erysipelotrichaceae,D6,0.026053042121684872
Lactobacillaceae,D6,0.08061922476899076
Rikenellaceae,D6,0.08681147245889836
Lachnospiraceae,D6,0.12665306612264488
Bacteroidaceae,D6,0.23218928757150287
Muribaculaceae,D6,0.3578343133725349
Akkermansiaceae,D9,0.0054362174486979106
Ruminococcaceae,D9,0.0081083243329733
Oscillospiraceae,D9,0.014864594583783341
Deferribacteraceae,D9,0.01730069202768108
Erysipelotrichaceae,D9,0.02747709908396337
Lactobacillaceae,D9,0.02929317172686906
Rikenellaceae,D9,0.090695627825113
Bacteroidaceae,D9,0.16356654266170628
Lachnospiraceae,D9,0.2053522140885636
Muribaculaceae,D9,0.3674026961078444
Ruminococcaceae,D12,0.00560422416896673
Deferribacteraceae,D12,0.00751230049201964
Oscillospiraceae,D12,0.01150846033841354
Akkermansiaceae,D12,0.01842473698947958
Erysipelotrichaceae,D12,0.020660826433057312
Rikenellaceae,D12,0.04785391415656628
Lactobacillaceae,D12,0.09305172206888279
Bacteroidaceae,D12,0.11834873394935783
Lachnospiraceae,D12,0.1497499899996001
Muribaculaceae,D12,0.47653506140245605
